Country,B-G Namespace,Year,Air Quality Network,Air Quality Network Name,Timezone,Air Quality Station EoI Code,Air Quality Station Nat Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Longitude,Latitude,Altitude,Altitude Unit,Air Quality Station Area,Air Quality Station Type,Operational Activity Begin,Operational Activity End,Sample Id,Inlet Height,Inlet Height Unit,Building Distance,Building Distance Unit,Kerb Distance,Kerb Distance Unit,Distance Source,Distance Source Unit,Main Emission Sources,Heating Emissions,Heating Emissions Unit,Mobile,Traffic Emissions,Traffic Emissions Unit,Industrial Emissions,Industrial Emissions Unit,Municipality,Dispersion Local,Dispersion Regional,Distance Junction,Distance Junction Unit,Heavy Duty Fraction,Height Facades,Street Width,Traffic Speed,Traffic Volume,Process Id,Process Activity Begin,Process Activity End,Measurement Type,Measurement Method,Other Measurement Method,Measurement Equipment,Other Measurement Equipment,Sampling Method,Other Sampling Method,Analytical Technique,Other Analytical Technique,Equivalence Demonstrated,Demonstration Report,Detection Limit,Detection Limit Unit,Documentation,QA Report,Duration,Duration Unit,Cadence,Cadence Unit,Source Data URL,Imported
"Bulgaria","BG.BG-ExEA.AQ","2022","NET-BG001A","National air network","UTC+02","BG0084A","pl3","AMS Patriarch Evtimiy - Pleven","SPO-BG0084A_00001_501","SO2","24.624300000","43.4090","100.0","m","urban","background","02/01/2019 00:00:00","","SPO_F-BG0084A_00001_501_501","3.0","m","17.0","m","5.0","m","","","Fugitive Emissions from Fuels","","","0","","","","","","","","","","","","","","","SPP-BG_A_UV-FL_thermo43i","","","automatic","UV-FL","","thermo43i","","","","","","ref","","","","","https://bds-bg.org/bg/project/show/bds:proj:81470","1","hour","1","minute","http://cdr.eionet.europa.eu/bg/eu/aqd/d/envzo7uq/DataFlowD2022.xml","21/08/2024 02:13:58"
"Bulgaria","BG.BG-ExEA.AQ","2022","NET-BG001A","National air network","UTC+02","BG0084A","pl3","AMS Patriarch Evtimiy - Pleven","SPO-BG0084A_00005_100","PM10","24.624300000","43.4090","100.0","m","urban","background","02/01/2019 00:00:00","","SPO_F-BG0084A_00005_100_100","3.0","m","17.0","m","5.0","m","","","Fugitive Emissions from Fuels","","","0","","","","","","","","","","","","","","","SPP-BG_A_BETA_thermo5030SHARP","","","automatic","BETA","","thermo5030SHARP","","","","","","yes","http://www.aces.su.se/reflab/wp-content/uploads/2016/11/Demonstration_of_Equivalence_of_Ambient_Air_Monitoring.pdf","","","","https://bds-bg.org/bg/project/show/bds:proj:98388","1","day","24","hour","http://cdr.eionet.europa.eu/bg/eu/aqd/d/envzo7uq/DataFlowD2022.xml","21/08/2024 02:13:58"
"Bulgaria","BG.BG-ExEA.AQ","2022","NET-BG001A","National air network","UTC+02","BG0084A","pl3","AMS Patriarch Evtimiy - Pleven","SPO-BG0084A_00008_501","NO2","24.624300000","43.4090","100.0","m","urban","background","02/01/2019 00:00:00","","SPO_F-BG0084A_00008_501_501","3.0","m","17.0","m","5.0","m","","","Fugitive Emissions from Fuels","","","0","","","","","","","","","","","","","","","SPP-BG_A_chemi_thermo42i","","","automatic","chemi","","thermo42i","","","","","","ref","","","","","https://bds-bg.org/bg/project/show/bds:proj:81467","1","hour","1","minute","http://cdr.eionet.europa.eu/bg/eu/aqd/d/envzo7uq/DataFlowD2022.xml","21/08/2024 02:13:58"
"Bulgaria","BG.BG-ExEA.AQ","2022","NET-BG001A","National air network","UTC+02","BG0084A","pl3","AMS Patriarch Evtimiy - Pleven","SPO-BG0084A_00010_100","CO","24.624300000","43.4090","100.0","m","urban","background","02/01/2019 00:00:00","","SPO_F-BG0084A_00010_100_100","3.0","m","17.0","m","5.0","m","","","Fugitive Emissions from Fuels","","","0","","","","","","","","","","","","","","","SPP-BG_A_NDIR_thermo48i","","","automatic","NDIR","","thermo48i","","","","","","ref","","","","","https://bds-bg.org/bg/project/show/bds:proj:81475","1","hour","1","minute","http://cdr.eionet.europa.eu/bg/eu/aqd/d/envzo7uq/DataFlowD2022.xml","21/08/2024 02:13:58"
"Bulgaria","BG.BG-ExEA.AQ","2022","NET-BG001A","National air network","UTC+02","BG0084A","pl3","AMS Patriarch Evtimiy - Pleven","SPO-BG0084A_00020_100","C6H6","24.624300000","43.4090","100.0","m","urban","background","02/01/2019 00:00:00","","SPO_F-BG0084A_00020_100_100","3.0","m","17.0","m","5.0","m","","","Fugitive Emissions from Fuels","","","0","","","","","","","","","","","","","","","SPP-BG_A_51411GC855BTX-600","","","automatic","","","GC855BTX-600","","","","","","ref","","","","","https://bds-bg.org/bg/project/show/bds:proj:90540","1","hour","15","minute","http://cdr.eionet.europa.eu/bg/eu/aqd/d/envzo7uq/DataFlowD2022.xml","21/08/2024 02:13:58"
"Bulgaria","BG.BG-ExEA.AQ","2022","NET-BG001A","National air network","UTC+02","BG0084A","pl3","AMS Patriarch Evtimiy - Pleven","SPO-BG0084A_00020_100","C6H6","24.624300000","43.4090","100.0","m","urban","background","02/01/2019 00:00:00","","SPO_F-BG0084A_00020_100_100","3.0","m","17.0","m","5.0","m","","","Fugitive Emissions from Fuels","","","0","","","","","","","","","","","","","","","SPP-BG_A_D9037D9037","","","automatic","","","other","","","","","","ref","","","","","https://bds-bg.org/bg/project/show/bds:proj:90540","1","hour","15","minute","http://cdr.eionet.europa.eu/bg/eu/aqd/d/envzo7uq/DataFlowD2022.xml","21/08/2024 02:13:58"
"Bulgaria","BG.BG-ExEA.AQ","2022","NET-BG001A","National air network","UTC+02","BG0084A","pl3","AMS Patriarch Evtimiy - Pleven","SPO-BG0084A_00021_100","C6H5-CH3","24.624300000","43.4090","100.0","m","urban","background","02/01/2019 00:00:00","","SPO_F-BG0084A_00021_100_100","3.0","m","17.0","m","5.0","m","","","Fugitive Emissions from Fuels","","","0","","","","","","","","","","","","","","","SPP-BG_A_51411GC855BTX-600","","","automatic","","","GC855BTX-600","","","","","","ref","","","","","https://bds-bg.org/bg/project/show/bds:proj:90540","1","hour","15","minute","http://cdr.eionet.europa.eu/bg/eu/aqd/d/envzo7uq/DataFlowD2022.xml","21/08/2024 02:13:58"
"Bulgaria","BG.BG-ExEA.AQ","2022","NET-BG001A","National air network","UTC+02","BG0084A","pl3","AMS Patriarch Evtimiy - Pleven","SPO-BG0084A_00038_100","NO","24.624300000","43.4090","100.0","m","urban","background","02/01/2019 00:00:00","","SPO_F-BG0084A_00038_100_100","3.0","m","17.0","m","5.0","m","","","Fugitive Emissions from Fuels","","","0","","","","","","","","","","","","","","","SPP-BG_A_chemi_thermo42i","","","automatic","chemi","","thermo42i","","","","","","ref","","","","","https://bds-bg.org/bg/project/show/bds:proj:81467","1","hour","1","minute","http://cdr.eionet.europa.eu/bg/eu/aqd/d/envzo7uq/DataFlowD2022.xml","21/08/2024 02:13:58"
"Bulgaria","BG.BG-ExEA.AQ","2022","NET-BG001A","National air network","UTC+02","BG0084A","pl3","AMS Patriarch Evtimiy - Pleven","SPO-BG0084A_00464_100","m,p-C6H4(CH3)2","24.624300000","43.4090","100.0","m","urban","background","02/01/2019 00:00:00","","SPO_F-BG0084A_00464_100_100","3.0","m","17.0","m","5.0","m","","","Fugitive Emissions from Fuels","","","0","","","","","","","","","","","","","","","SPP-BG_A_51411GC855BTX-600","","","automatic","","","GC855BTX-600","","","","","","ref","","","","","https://bds-bg.org/bg/project/show/bds:proj:90540","1","hour","15","minute","http://cdr.eionet.europa.eu/bg/eu/aqd/d/envzo7uq/DataFlowD2022.xml","21/08/2024 02:13:58"
"Bulgaria","BG.BG-ExEA.AQ","2022","NET-BG001A","National air network","UTC+02","BG0084A","pl3","AMS Patriarch Evtimiy - Pleven","SPO-BG0084A_05029_100","BaP in PM10","24.624300000","43.4090","100.0","m","urban","background","02/01/2019 00:00:00","","SPO_F-BG0084A_05029_100_100","3.0","m","17.0","m","5.0","m","","","Fugitive Emissions from Fuels","","","0","","","","","","","","","","","","","","","SPP-BG_N_GC-MS_06851","","","active","","","","","","","GC-MS","","ref","","","","","https://bds-bg.org/bg/project/show/bds:proj:74730","24","hour","24","hour","http://cdr.eionet.europa.eu/bg/eu/aqd/d/envzo7uq/DataFlowD2022.xml","21/08/2024 02:13:58"
