Country,B-G Namespace,Year,Preliminary,AQ Zone Id,Zone Code,Zone Type,Geographical Name,Predecessor Id,Resident Population,Resident Population Year,Begin Time,End Time,Area,Area Unit,Authority Organisation,Authority Website,Authority Telephone,Authority Address,Source Data URL,Imported,Latest Geometry Import
"Bulgaria","BG.BG-ExEA.AQ","2013","No","ZON-BG0001","BG0001","Agglomeration","Sofia","","1249665","2013","01/01/2007 00:00:00","","2483.62","km2","Executive Environment Agency","http://www.eea.government.bg/","+359 2 955 98 11","136 Tzar Boris III Blvd.,1618 Sofia, Bulgaria","http://cdr.eionet.europa.eu/bg/eu/aqd/b/envvigypa/REP_D-BG_BG-ExEA_20141208_B-001.xml","22/08/2024 00:12:37","2024-06-22  01:00   "
"Bulgaria","BG.BG-ExEA.AQ","2013","No","ZON-BG0002","BG0002","Agglomeration","Plovdiv","","506913","2013","01/01/2007 00:00:00","","2585.75","km2","Executive Environment Agency","http://www.eea.government.bg/","+359 2 955 98 11","136 Tzar Boris III Blvd.,1618 Sofia, Bulgaria","http://cdr.eionet.europa.eu/bg/eu/aqd/b/envvigypa/REP_D-BG_BG-ExEA_20141208_B-001.xml","22/08/2024 00:12:37","2024-06-22  01:00   "
"Bulgaria","BG.BG-ExEA.AQ","2013","No","ZON-BG0003","BG0003","Agglomeration","Varna","","397255","2013","01/01/2007 00:00:00","","788.21","km2","Executive Environment Agency","http://www.eea.government.bg/","+359 2 955 98 11","136 Tzar Boris III Blvd.,1618 Sofia, Bulgaria","http://cdr.eionet.europa.eu/bg/eu/aqd/b/envvigypa/REP_D-BG_BG-ExEA_20141208_B-001.xml","22/08/2024 00:12:37","2024-06-22  01:00   "
"Bulgaria","BG.BG-ExEA.AQ","2013","No","ZON-BG0004","BG0004","Agglomeration","North","","2258523","2013","01/01/2007 00:00:00","","91235.80","km2","Executive Environment Agency","http://www.eea.government.bg/","+359 2 955 98 11","136 Tzar Boris III Blvd.,1618 Sofia, Bulgaria","http://cdr.eionet.europa.eu/bg/eu/aqd/b/envvigypa/REP_D-BG_BG-ExEA_20141208_B-001.xml","22/08/2024 00:12:37","2024-06-22  01:00   "
"Bulgaria","BG.BG-ExEA.AQ","2013","No","ZON-BG0005","BG0005","Agglomeration","South-West","","1102083","2013","01/01/2007 00:00:00","","46653.04","km2","Executive Environment Agency","http://www.eea.government.bg/","+359 2 955 98 11","136 Tzar Boris III Blvd.,1618 Sofia, Bulgaria","http://cdr.eionet.europa.eu/bg/eu/aqd/b/envvigypa/REP_D-BG_BG-ExEA_20141208_B-001.xml","22/08/2024 00:12:37","2024-06-22  01:00   "
"Bulgaria","BG.BG-ExEA.AQ","2013","No","ZON-BG0006","BG0006","Agglomeration","South-East","","1731238","2013","01/01/2007 00:00:00","","62294.93","km2","Executive Environment Agency","http://www.eea.government.bg/","+359 2 955 98 11","136 Tzar Boris III Blvd.,1618 Sofia, Bulgaria","http://cdr.eionet.europa.eu/bg/eu/aqd/b/envvigypa/REP_D-BG_BG-ExEA_20141208_B-001.xml","22/08/2024 00:12:37","2024-06-22  01:00   "
"Bulgaria","BG.BG-ExEA.AQ","2014","No","ZON-BG0001","BG0001","Agglomeration","Sofia","","1316524","2014","01/01/2007 00:00:00","","2483.62","km2","Executive Environment Agency","http://www.eea.government.bg/","+359 2 955 98 11","136 Tzar Boris III Blvd.,1618 Sofia, Bulgaria","http://cdr.eionet.europa.eu/bg/eu/aqd/b/envvwzc2w/REP_D-BG_BG-ExEA_20160412_B1.xml","22/08/2024 00:12:44","2024-06-22  01:00   "
"Bulgaria","BG.BG-ExEA.AQ","2014","No","ZON-BG0002","BG0002","Agglomeration","Plovdiv","","675586","2014","01/01/2007 00:00:00","","2585.75","km2","Executive Environment Agency","http://www.eea.government.bg/","+359 2 955 98 11","136 Tzar Boris III Blvd.,1618 Sofia, Bulgaria","http://cdr.eionet.europa.eu/bg/eu/aqd/b/envvwzc2w/REP_D-BG_BG-ExEA_20160412_B1.xml","22/08/2024 00:12:44","2024-06-22  01:00   "
"Bulgaria","BG.BG-ExEA.AQ","2014","No","ZON-BG0003","BG0003","Agglomeration","Varna","","473804","2014","01/01/2007 00:00:00","","788.21","km2","Executive Environment Agency","http://www.eea.government.bg/","+359 2 955 98 11","136 Tzar Boris III Blvd.,1618 Sofia, Bulgaria","http://cdr.eionet.europa.eu/bg/eu/aqd/b/envvwzc2w/REP_D-BG_BG-ExEA_20160412_B1.xml","22/08/2024 00:12:44","2024-06-22  01:00   "
"Bulgaria","BG.BG-ExEA.AQ","2014","No","ZON-BG0004","BG0004","Agglomeration","North","","2103128","2014","01/01/2007 00:00:00","","91235.80","km2","Executive Environment Agency","http://www.eea.government.bg/","+359 2 955 98 11","136 Tzar Boris III Blvd.,1618 Sofia, Bulgaria","http://cdr.eionet.europa.eu/bg/eu/aqd/b/envvwzc2w/REP_D-BG_BG-ExEA_20160412_B1.xml","22/08/2024 00:12:44","2024-06-22  01:00   "
